id_registro,fecha_movimiento,personal_rol,personal_especialidad,area_nombre,cama_serie,cama_tipo,cama_tiene_sabana,cama_esta_ocupada
REG-100050,2026-05-01 08:29:10,FINANZAS,Tesoreria,Pasillo Urgencias,CAM-311,Hospitalaria Estandar,SI,SI
REG-100051,2026-05-01 08:29:45,FINANZAS,contabilidad,atencion prioritaria,CAM-982,Camilla de Transporte,SI,Desocupada
REG-100052,2026-05-01 08:30:20,ADMINISTRATIVO,Facturacion,Uci Pediatria,CAM-299,Hospitalaria Estandar,no,SI
REG-100053,2026-05-01 08:30:55,ADMINISTRATIVO,Talento Humano,Urgencias,,Cama UCI Electrica,Si,Ocupada
REG-100054,2026-05-01 08:31:30,FINANZAS,Contabilidad,Area Administrativa,CAM-127,Camilla de Transporte,NO,Desocupada
REG-100055,2026-05-01 08:32:05,FINANZAS,Urgenciologo,SALA DE OPERACIONES,CAM-424,Hospitalaria Estandar,SI,NO
REG-100056,2026-05-01 08:32:40,MEDICO,urgenciologo,Atencion Prioritaria,CAM-372,Cama UCI Electrica,,NO
REG-100057,2026-05-01 08:33:15,MEDICO,Pediatra,Area Administrativa,CAM-130,camilla,,Desocupada
REG-100058,2026-05-01 08:33:50,MEDICO,urgenciologo,Piso 3 - Hospitalizacion,,camilla,SÍ,NO
REG-100059,2026-05-01 08:34:25,ADMINISTRATIVO,Admitido,Uci Pediatria,CAM-510,Cama UCI Electrica,NO,Desocupada
REG-100060,2026-05-01 08:35:00,FINANZAS,Costos e Insumos,URGENCIAS,CAM-903,camilla,,Ocupada
REG-100061,2026-05-01 08:35:35,ADMINISTRATIVO,facturacion,sala de operaciones,CAM-311,Cuna Pediatrica,no,Ocupada
REG-100062,2026-05-01 08:36:10,ADMINISTRATIVO,Facturacion,sala de operaciones,CAM-405,Hospitalaria Estandar,Si,Desocupada
REG-100063,2026-05-01 08:36:45,FINANZAS,Anestesiologo,SALA DE OPERACIONES,CAM-985,Cuna Pediatrica,,Ocupada
REG-100064,2026-05-01 08:37:20,FINANZAS,Contabilidad,Pasillo Urgencias,,Cuna Pediatrica,NO,Ocupada
REG-100065,2026-05-01 08:37:55,ADMINISTRATIVO,Talento Humano,Uci Pediatria,,camilla,SI,Desocupada
REG-100066,2026-05-01 08:38:30,FINANZAS,contabilidad,Area Administrativa,CAM-393,Cuna Pediatrica,NO,Desocupada
REG-100067,2026-05-01 08:39:05,FINANZAS,Tesoreria,Finanzas,CAM-654,Cama UCI Electrica,no,SI
REG-100068,2026-05-01 08:39:40,MEDICO,,Piso 3 - Hospitalizacion,CAM-160,Cuna Pediatrica,,Ocupada
REG-100069,2026-05-01 08:40:15,FINANZAS,Tesoreria,sala de operaciones,CAM-486,Hospitalaria Estandar,,NO
REG-100070,2026-05-01 08:40:50,ADMINISTRATIVO,Facturacion,Finanzas,CAM-108,Camilla de Transporte,SI,NO
REG-100071,2026-05-01 08:41:25,MEDICO,Urgenciologo,URGENCIAS,CAM-562,camilla,SI,NO
REG-100072,2026-05-01 08:42:00,MEDICO,Cirujano General,Pasillo Urgencias,CAM-577,Cuna Pediatrica,NO,NO
REG-100073,2026-05-01 08:42:35,MEDICO,Anestesiologo,Finanzas,CAM-264,Camilla de Transporte,SÍ,Desocupada
REG-100074,2026-05-01 08:43:10,ADMINISTRATIVO,Talento Humano,Pasillo Urgencias,CAM-532,camilla,Si,SI
REG-100075,2026-05-01 08:43:45,ADMINISTRATIVO,Admitido,Piso 3 - Hospitalizacion,CAM-434,Cama UCI Electrica,SÍ,Desocupada
REG-100076,2026-05-01 08:44:20,ADMINISTRATIVO,Auditoria Medica,sala de operaciones,CAM-352,Hospitalaria Estandar,,NO
REG-100077,2026-05-01 08:44:55,FINANZAS,Tesoreria,Urgencias,CAM-250,Camilla de Transporte,no,Ocupada
REG-100078,2026-05-01 08:45:30,MEDICO,Anestesiologo,URGENCIAS,CAM-762,Cuna Pediatrica,no,Desocupada
REG-100079,2026-05-01 08:46:05,ADMINISTRATIVO,Admitido,UCI Adultos,CAM-584,Cuna Pediatrica,,SI
REG-100080,2026-05-01 08:46:40,FINANZAS,contabilidad,Piso 3 - Hospitalizacion,CAM-137,Hospitalaria Estandar,NO,Desocupada
REG-100081,2026-05-01 08:47:15,MEDICO,Cirujano General,Atencion Prioritaria,CAM-899,Hospitalaria Estandar,,NO
REG-100082,2026-05-01 08:47:50,MEDICO,Anestesiologo,UCI Adultos,CAM-265,Camilla de Transporte,SÍ,NO
REG-100083,2026-05-01 08:48:25,MEDICO,Cirujano General,atencion prioritaria,CAM-829,Cuna Pediatrica,SÍ,SI
REG-100084,2026-05-01 08:49:00,MEDICO,,UCI Adultos,CAM-176,Cuna Pediatrica,NO,Desocupada
REG-100085,2026-05-01 08:49:35,ADMINISTRATIVO,Facturacion,atencion prioritaria,CAM-337,Cuna Pediatrica,SI,Desocupada
REG-100086,2026-05-01 08:50:10,MEDICO,Cirujano General,sala de operaciones,CAM-521,Hospitalaria Estandar,,Desocupada
REG-100087,2026-05-01 08:50:45,FINANZAS,Contabilidad,URGENCIAS,CAM-504,Hospitalaria Estandar,,SI
REG-100088,2026-05-01 08:51:20,ADMINISTRATIVO,Admitido,Atencion Prioritaria,CAM-112,Cama UCI Electrica,SI,Ocupada
REG-100089,2026-05-01 08:51:55,FINANZAS,Tesoreria,Piso 3 - Hospitalizacion,CAM-742,Cama UCI Electrica,SÍ,Desocupada
REG-100090,2026-05-01 08:52:30,MEDICO,Anestesiologo,Atencion Prioritaria,CAM-804,camilla,,Ocupada
REG-100091,2026-05-01 08:53:05,ADMINISTRATIVO,Admitido,Pasillo Urgencias,CAM-851,Cuna Pediatrica,SI,Ocupada
REG-100092,2026-05-01 08:53:40,FINANZAS,contabilidad,SALA DE OPERACIONES,CAM-947,Cuna Pediatrica,NO,NO
REG-100093,2026-05-01 08:54:15,FINANZAS,contabilidad,atencion prioritaria,CAM-502,Hospitalaria Estandar,Si,SI
REG-100094,2026-05-01 08:54:50,ADMINISTRATIVO,Admitido,UCI Adultos,CAM-515,Hospitalaria Estandar,,Desocupada
REG-100095,2026-05-01 08:55:25,FINANZAS,Contabilidad,Area Administrativa,CAM-510,Cama UCI Electrica,NO,NO
REG-100096,2026-05-01 08:56:00,MEDICO,Cirujano General,Piso 3 - Hospitalizacion,CAM-483,Hospitalaria Estandar,no,SI
REG-100097,2026-05-01 08:56:35,MEDICO,Anestesiologo,Urgencias,CAM-687,camilla,SÍ,Desocupada
REG-100098,2026-05-01 08:57:10,MEDICO,Pediatra,URGENCIAS,CAM-705,Cuna Pediatrica,,Desocupada
REG-100099,2026-05-01 08:57:45,MEDICO,CIRUJANO,atencion prioritaria,CAM-291,Camilla de Transporte,,Desocupada
REG-100100,2026-05-01 08:58:20,FINANZAS,contabilidad,UCI Adultos,CAM-620,Cama UCI Electrica,NO,NO
REG-100101,2026-05-01 08:58:55,FINANZAS,Contabilidad,UCI Adultos,CAM-195,Camilla de Transporte,NO,SI
REG-100102,2026-05-01 08:59:30,ADMINISTRATIVO,facturacion,atencion prioritaria,CAM-842,Cuna Pediatrica,Si,NO
REG-100103,2026-05-01 09:00:05,ADMINISTRATIVO,Auditoria Medica,SALA DE OPERACIONES,CAM-716,camilla,SI,Desocupada
REG-100104,2026-05-01 09:00:40,MEDICO,Anestesiologo,sala de operaciones,,camilla,NO,NO
REG-100105,2026-05-01 09:01:15,ADMINISTRATIVO,Talento Humano,URGENCIAS,CAM-365,Camilla de Transporte,Si,NO
REG-100106,2026-05-01 09:01:50,FINANZAS,,atencion prioritaria,CAM-934,Camilla de Transporte,NO,Ocupada
REG-100107,2026-05-01 09:02:25,ADMINISTRATIVO,Talento Humano,Pasillo Urgencias,CAM-716,Cuna Pediatrica,NO,Desocupada
REG-100108,2026-05-01 09:03:00,MEDICO,CIRUJANO,SALA DE OPERACIONES,CAM-634,Camilla de Transporte,SI,SI
REG-100109,2026-05-01 09:03:35,MEDICO,Urgenciologo,URGENCIAS,CAM-814,camilla,SÍ,NO
REG-100110,2026-05-01 09:04:10,ADMINISTRATIVO,facturacion,SALA DE OPERACIONES,,Cama UCI Electrica,SÍ,NO
REG-100111,2026-05-01 09:04:45,ADMINISTRATIVO,Facturacion,Piso 3 - Hospitalizacion,CAM-647,Camilla de Transporte,NO,Desocupada
REG-100112,2026-05-01 09:05:20,MEDICO,,URGENCIAS,CAM-903,Cuna Pediatrica,SÍ,SI
REG-100113,2026-05-01 09:05:55,MEDICO,Pediatra,atencion prioritaria,CAM-380,Hospitalaria Estandar,,SI
REG-100114,2026-05-01 09:06:30,ADMINISTRATIVO,Auditoria Medica,Atencion Prioritaria,CAM-762,,,Desocupada
REG-100115,2026-05-01 09:07:05,ADMINISTRATIVO,facturacion,Uci Pediatria,CAM-746,Camilla de Transporte,,NO
REG-100116,2026-05-01 09:07:40,FINANZAS,Costos e Insumos,sala de operaciones,CAM-478,Camilla de Transporte,,Desocupada
REG-100117,2026-05-01 09:08:15,ADMINISTRATIVO,facturacion,Area Administrativa,,Cuna Pediatrica,Si,Desocupada
REG-100118,2026-05-01 09:08:50,ADMINISTRATIVO,Talento Humano,Pasillo Urgencias,CAM-211,Hospitalaria Estandar,SÍ,Desocupada
REG-100119,2026-05-01 09:09:25,MEDICO,Anestesiologo,UCI Adultos,CAM-754,Cuna Pediatrica,,SI
REG-100120,2026-05-01 09:10:00,ADMINISTRATIVO,Talento Humano,SALA DE OPERACIONES,CAM-715,Cama UCI Electrica,Si,SI
REG-100121,2026-05-01 09:10:35,MEDICO,Urgenciologo,Piso 3 - Hospitalizacion,CAM-477,Camilla de Transporte,,NO
REG-100122,2026-05-01 09:11:10,MEDICO,Pediatra,SALA DE OPERACIONES,CAM-164,Hospitalaria Estandar,,Ocupada
REG-100123,2026-05-01 09:11:45,MEDICO,CIRUJANO,Urgencias,CAM-200,Camilla de Transporte,SÍ,Ocupada
REG-100124,2026-05-01 09:12:20,MEDICO,Cirujano General,atencion prioritaria,CAM-136,Hospitalaria Estandar,SÍ,Desocupada
REG-100125,2026-05-01 09:12:55,MEDICO,Cirujano General,UCI Adultos,CAM-682,camilla,no,Ocupada
REG-100126,2026-05-01 09:13:30,ADMINISTRATIVO,Talento Humano,Pasillo Urgencias,CAM-200,Hospitalaria Estandar,Si,NO
REG-100127,2026-05-01 09:14:05,MEDICO,urgenciologo,Area Administrativa,CAM-574,camilla,NO,Ocupada
REG-100128,2026-05-01 09:14:40,MEDICO,Urgenciologo,sala de operaciones,CAM-442,camilla,Si,Desocupada
REG-100129,2026-05-01 09:15:15,ADMINISTRATIVO,Admitido,Finanzas,CAM-632,camilla,SÍ,SI
REG-100130,2026-05-01 09:15:50,ADMINISTRATIVO,Admitido,atencion prioritaria,,Cama UCI Electrica,NO,SI
REG-100131,2026-05-01 09:16:25,FINANZAS,contabilidad,UCI Adultos,CAM-473,Cuna Pediatrica,no,NO
REG-100132,2026-05-01 09:17:00,FINANZAS,Costos e Insumos,sala de operaciones,CAM-749,Hospitalaria Estandar,SÍ,Desocupada
REG-100133,2026-05-01 09:17:35,FINANZAS,contabilidad,SALA DE OPERACIONES,CAM-679,Cama UCI Electrica,NO,Ocupada
REG-100134,2026-05-01 09:18:10,FINANZAS,Tesoreria,Piso 3 - Hospitalizacion,CAM-250,Hospitalaria Estandar,SÍ,SI
REG-100135,2026-05-01 09:18:45,FINANZAS,Contabilidad,Uci Pediatria,CAM-357,Cama UCI Electrica,SI,Ocupada
REG-100136,2026-05-01 09:19:20,ADMINISTRATIVO,,Pasillo Urgencias,CAM-581,camilla,SI,NO
REG-100137,2026-05-01 09:19:55,ADMINISTRATIVO,Auditoria Medica,Pasillo Urgencias,CAM-948,Cama UCI Electrica,NO,Desocupada
REG-100138,2026-05-01 09:20:30,MEDICO,Anestesiologo,SALA DE OPERACIONES,CAM-881,Cama UCI Electrica,,Desocupada
REG-100139,2026-05-01 09:21:05,FINANZAS,contabilidad,SALA DE OPERACIONES,CAM-104,Cama UCI Electrica,no,NO
REG-100140,2026-05-01 09:21:40,MEDICO,CIRUJANO,Pasillo Urgencias,CAM-939,Cama UCI Electrica,,Ocupada
REG-100141,2026-05-01 09:22:15,MEDICO,Cirujano General,SALA DE OPERACIONES,CAM-169,,SI,NO
REG-100142,2026-05-01 09:22:50,MEDICO,Cirujano General,Pasillo Urgencias,CAM-661,camilla,,NO
REG-100143,2026-05-01 09:23:25,ADMINISTRATIVO,Facturacion,URGENCIAS,CAM-136,Hospitalaria Estandar,NO,SI
REG-100144,2026-05-01 09:24:00,FINANZAS,Anestesiologo,SALA DE OPERACIONES,,Cuna Pediatrica,SÍ,NO
REG-100145,2026-05-01 09:24:35,MEDICO,Cirujano General,Finanzas,CAM-135,Hospitalaria Estandar,no,NO
REG-100146,2026-05-01 09:25:10,ADMINISTRATIVO,Talento Humano,Uci Pediatria,CAM-322,Cama UCI Electrica,SÍ,Ocupada
REG-100147,2026-05-01 09:25:45,MEDICO,urgenciologo,Uci Pediatria,CAM-681,camilla,Si,Ocupada
REG-100148,2026-05-01 09:26:20,MEDICO,Anestesiologo,atencion prioritaria,CAM-280,Camilla de Transporte,no,Desocupada
REG-100149,2026-05-01 09:26:55,ADMINISTRATIVO,Talento Humano,Pasillo Urgencias,CAM-122,Camilla de Transporte,Si,NO
REG-100150,2026-05-01 09:27:30,FINANZAS,Costos e Insumos,SALA DE OPERACIONES,CAM-539,Camilla de Transporte,SI,Ocupada
REG-100151,2026-05-01 09:28:05,MEDICO,Cirujano General,UCI Adultos,CAM-130,Hospitalaria Estandar,,Ocupada
REG-100152,2026-05-01 09:28:40,ADMINISTRATIVO,Auditoria Medica,UCI Adultos,CAM-904,Camilla de Transporte,no,SI
REG-100153,2026-05-01 09:29:15,MEDICO,CIRUJANO,Finanzas,CAM-364,Cama UCI Electrica,NO,Desocupada
REG-100154,2026-05-01 09:29:50,ADMINISTRATIVO,Talento Humano,Piso 3 - Hospitalizacion,CAM-271,Cama UCI Electrica,NO,Ocupada
REG-100155,2026-05-01 09:30:25,FINANZAS,Costos e Insumos,Urgencias,CAM-935,camilla,no,Ocupada
REG-100156,2026-05-01 09:31:00,ADMINISTRATIVO,Facturacion,Uci Pediatria,CAM-738,Cuna Pediatrica,,Ocupada
REG-100157,2026-05-01 09:31:35,MEDICO,Cirujano General,Pasillo Urgencias,CAM-463,Camilla de Transporte,no,Desocupada
REG-100158,2026-05-01 09:32:10,FINANZAS,contabilidad,sala de operaciones,CAM-381,Cama UCI Electrica,,SI
REG-100159,2026-05-01 09:32:45,FINANZAS,Contabilidad,SALA DE OPERACIONES,CAM-598,Camilla de Transporte,,NO
REG-100160,2026-05-01 09:33:20,MEDICO,Pediatra,atencion prioritaria,CAM-644,camilla,,Ocupada
REG-100161,2026-05-01 09:33:55,MEDICO,Cirujano General,sala de operaciones,CAM-132,Cuna Pediatrica,Si,Desocupada
REG-100162,2026-05-01 09:34:30,MEDICO,Cirujano General,UCI Adultos,CAM-705,Camilla de Transporte,no,Ocupada
REG-100163,2026-05-01 09:35:05,MEDICO,Urgenciologo,sala de operaciones,CAM-216,camilla,no,Desocupada
REG-100164,2026-05-01 09:35:40,ADMINISTRATIVO,Auditoria Medica,sala de operaciones,CAM-500,Camilla de Transporte,SÍ,Ocupada
REG-100165,2026-05-01 09:36:15,FINANZAS,Costos e Insumos,Atencion Prioritaria,CAM-626,Camilla de Transporte,no,Ocupada
REG-100166,2026-05-01 09:36:50,ADMINISTRATIVO,Facturacion,UCI Adultos,CAM-211,Cama UCI Electrica,SI,Desocupada
REG-100167,2026-05-01 09:37:25,ADMINISTRATIVO,Facturacion,Area Administrativa,,camilla,Si,NO
REG-100168,2026-05-01 09:38:00,FINANZAS,contabilidad,SALA DE OPERACIONES,,camilla,SI,Ocupada
REG-100169,2026-05-01 09:38:35,MEDICO,Urgenciologo,atencion prioritaria,CAM-281,Cama UCI Electrica,SÍ,SI
REG-100170,2026-05-01 09:39:10,MEDICO,CIRUJANO,Area Administrativa,,Cama UCI Electrica,SÍ,Ocupada
REG-100171,2026-05-01 09:39:45,ADMINISTRATIVO,Facturacion,Area Administrativa,CAM-620,camilla,Si,SI
REG-100172,2026-05-01 09:40:20,FINANZAS,contabilidad,Atencion Prioritaria,CAM-901,Hospitalaria Estandar,no,Desocupada
REG-100173,2026-05-01 09:40:55,FINANZAS,Tesoreria,Area Administrativa,CAM-914,Camilla de Transporte,,Ocupada
REG-100174,2026-05-01 09:41:30,ADMINISTRATIVO,Talento Humano,UCI Adultos,CAM-675,camilla,no,Desocupada
REG-100175,2026-05-01 09:42:05,ADMINISTRATIVO,Talento Humano,Atencion Prioritaria,CAM-848,camilla,Si,SI
REG-100176,2026-05-01 09:42:40,ADMINISTRATIVO,facturacion,Area Administrativa,CAM-852,Camilla de Transporte,Si,Ocupada
REG-100177,2026-05-01 09:43:15,MEDICO,Anestesiologo,UCI Adultos,CAM-371,Camilla de Transporte,Si,Ocupada
REG-100178,2026-05-01 09:43:50,ADMINISTRATIVO,Auditoria Medica,Piso 3 - Hospitalizacion,CAM-294,Cuna Pediatrica,no,SI
REG-100179,2026-05-01 09:44:25,FINANZAS,Costos e Insumos,Uci Pediatria,CAM-175,Camilla de Transporte,SI,NO
REG-100180,2026-05-01 09:45:00,ADMINISTRATIVO,Facturacion,Finanzas,CAM-111,Camilla de Transporte,,NO
REG-100181,2026-05-01 09:45:35,ADMINISTRATIVO,Auditoria Medica,Uci Pediatria,CAM-889,Cama UCI Electrica,SI,Desocupada
REG-100182,2026-05-01 09:46:10,ADMINISTRATIVO,Talento Humano,Pasillo Urgencias,CAM-560,Hospitalaria Estandar,SÍ,Desocupada
REG-100183,2026-05-01 09:46:45,ADMINISTRATIVO,Admitido,Atencion Prioritaria,CAM-413,Cuna Pediatrica,NO,Ocupada
REG-100184,2026-05-01 09:47:20,FINANZAS,Costos e Insumos,atencion prioritaria,CAM-363,Hospitalaria Estandar,SÍ,Desocupada
REG-100185,2026-05-01 09:47:55,ADMINISTRATIVO,Facturacion,Area Administrativa,CAM-756,Camilla de Transporte,,SI
REG-100186,2026-05-01 09:48:30,ADMINISTRATIVO,,URGENCIAS,CAM-598,Hospitalaria Estandar,SI,SI
REG-100187,2026-05-01 09:49:05,ADMINISTRATIVO,facturacion,Piso 3 - Hospitalizacion,CAM-849,Hospitalaria Estandar,,Desocupada
REG-100188,2026-05-01 09:49:40,FINANZAS,contabilidad,Atencion Prioritaria,CAM-780,Hospitalaria Estandar,,NO
REG-100189,2026-05-01 09:50:15,MEDICO,urgenciologo,UCI Adultos,,Camilla de Transporte,no,Ocupada
REG-100190,2026-05-01 09:50:50,FINANZAS,Contabilidad,UCI Adultos,CAM-925,Cama UCI Electrica,,SI
REG-100191,2026-05-01 09:51:25,ADMINISTRATIVO,facturacion,Pasillo Urgencias,CAM-514,Cama UCI Electrica,NO,Ocupada
REG-100192,2026-05-01 09:52:00,ADMINISTRATIVO,Facturacion,Uci Pediatria,CAM-830,Camilla de Transporte,,NO
REG-100193,2026-05-01 09:52:35,FINANZAS,Tesoreria,SALA DE OPERACIONES,CAM-457,Hospitalaria Estandar,Si,Ocupada
REG-100194,2026-05-01 09:53:10,ADMINISTRATIVO,Auditoria Medica,Atencion Prioritaria,CAM-490,camilla,SÍ,Desocupada
REG-100195,2026-05-01 09:53:45,MEDICO,Pediatra,sala de operaciones,,Cama UCI Electrica,,Desocupada
REG-100196,2026-05-01 09:54:20,FINANZAS,contabilidad,Urgencias,CAM-225,Camilla de Transporte,,NO
REG-100197,2026-05-01 09:54:55,ADMINISTRATIVO,,Pasillo Urgencias,CAM-966,Camilla de Transporte,,Desocupada
REG-100198,2026-05-01 09:55:30,ADMINISTRATIVO,facturacion,Area Administrativa,CAM-636,Cama UCI Electrica,,NO
REG-100199,2026-05-01 09:56:05,MEDICO,Pediatra,SALA DE OPERACIONES,CAM-733,Hospitalaria Estandar,no,Desocupada
REG-100200,2026-05-01 09:56:40,FINANZAS,contabilidad,SALA DE OPERACIONES,CAM-493,Cuna Pediatrica,Si,SI
REG-100201,2026-05-01 09:57:15,MEDICO,Urgenciologo,atencion prioritaria,CAM-643,Camilla de Transporte,,SI
REG-100202,2026-05-01 09:57:50,MEDICO,CIRUJANO,Urgencias,CAM-147,Camilla de Transporte,no,NO
REG-100203,2026-05-01 09:58:25,FINANZAS,Tesoreria,URGENCIAS,CAM-826,Camilla de Transporte,NO,Desocupada
REG-100204,2026-05-01 09:59:00,FINANZAS,Contabilidad,URGENCIAS,CAM-884,camilla,,SI
REG-100205,2026-05-01 09:59:35,ADMINISTRATIVO,facturacion,UCI Adultos,CAM-640,Cuna Pediatrica,no,Ocupada
REG-100206,2026-05-01 10:00:10,FINANZAS,Anestesiologo,SALA DE OPERACIONES,CAM-290,Hospitalaria Estandar,NO,NO
REG-100207,2026-05-01 10:00:45,ADMINISTRATIVO,Admitido,atencion prioritaria,CAM-229,Cama UCI Electrica,,SI
REG-100208,2026-05-01 10:01:20,ADMINISTRATIVO,Admitido,SALA DE OPERACIONES,CAM-578,Cuna Pediatrica,NO,SI
